"Series";"Time";"Value"
"tpsrv010.cern.ch";"2019-08-10T11:00:00+02:00";206265812.63222224
"tpsrv010.cern.ch";"2019-08-10T11:30:00+02:00";184451887.3211111
"tpsrv010.cern.ch";"2019-08-10T12:00:00+02:00";179721135.5688889
"tpsrv010.cern.ch";"2019-08-10T12:30:00+02:00";182970315.34555554
"tpsrv010.cern.ch";"2019-08-10T13:00:00+02:00";190013941.5411111
"tpsrv010.cern.ch";"2019-08-10T13:30:00+02:00";201804194.12555555
"tpsrv010.cern.ch";"2019-08-10T14:00:00+02:00";177772065.00555557
"tpsrv010.cern.ch";"2019-08-10T14:30:00+02:00";186538732.86444443
"tpsrv010.cern.ch";"2019-08-10T15:00:00+02:00";172879215.80555555
"tpsrv010.cern.ch";"2019-08-10T15:30:00+02:00";167133366.99444443
"tpsrv010.cern.ch";"2019-08-10T16:00:00+02:00";103902945.08
"tpsrv010.cern.ch";"2019-08-10T16:30:00+02:00";130372345.61555555
"tpsrv010.cern.ch";"2019-08-10T17:00:00+02:00";158050521.25
"tpsrv010.cern.ch";"2019-08-10T17:30:00+02:00";118058961.11222222
"tpsrv010.cern.ch";"2019-08-10T18:00:00+02:00";78321684.44444445
"tpsrv010.cern.ch";"2019-08-10T18:30:00+02:00";181251933.76
"tpsrv010.cern.ch";"2019-08-10T19:00:00+02:00";70731768.86222222
"tpsrv010.cern.ch";"2019-08-10T19:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T20:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T20:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T21:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T21:30:00+02:00";71816188.39222223
"tpsrv010.cern.ch";"2019-08-10T22:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T22:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T23:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-10T23:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-11T00:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-11T00:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-11T01:00:00+02:00";38723491.69888889
"tpsrv010.cern.ch";"2019-08-11T01:30:00+02:00";269777297.56666666
"tpsrv010.cern.ch";"2019-08-11T02:00:00+02:00";258790670.47777778
"tpsrv010.cern.ch";"2019-08-11T02:30:00+02:00";282262097.3466667
"tpsrv010.cern.ch";"2019-08-11T03:00:00+02:00";274463339.98444444
"tpsrv010.cern.ch";"2019-08-11T03:30:00+02:00";267471266.2911111
"tpsrv010.cern.ch";"2019-08-11T04:00:00+02:00";93733951.79333334
"tpsrv010.cern.ch";"2019-08-11T04:30:00+02:00";255805094.37333333
"tpsrv010.cern.ch";"2019-08-11T05:00:00+02:00";263704197.39777777
"tpsrv010.cern.ch";"2019-08-11T05:30:00+02:00";272914769.2266667
"tpsrv010.cern.ch";"2019-08-11T06:00:00+02:00";271808649.7355555
"tpsrv010.cern.ch";"2019-08-11T06:30:00+02:00";263960082.8311111
"tpsrv010.cern.ch";"2019-08-11T07:00:00+02:00";274848547.92444444
"tpsrv010.cern.ch";"2019-08-11T07:30:00+02:00";237147289.68555555
"tpsrv010.cern.ch";"2019-08-11T08:00:00+02:00";217707843.87
"tpsrv010.cern.ch";"2019-08-11T08:30:00+02:00";259247390.12222221
"tpsrv010.cern.ch";"2019-08-11T09:00:00+02:00";282974264.2311111
"tpsrv010.cern.ch";"2019-08-11T09:30:00+02:00";269338630.89111114
"tpsrv010.cern.ch";"2019-08-11T10:00:00+02:00";250545965.40444446
"tpsrv010.cern.ch";"2019-08-11T10:30:00+02:00";250394794.95555556
"tpsrv010.cern.ch";"2019-08-11T11:00:00+02:00";248621217.52888888
"tpsrv010.cern.ch";"2019-08-11T11:30:00+02:00";265600256.90666667
"tpsrv010.cern.ch";"2019-08-11T12:00:00+02:00";281980864.68222225
"tpsrv010.cern.ch";"2019-08-11T12:30:00+02:00";76211035.21333334
"tpsrv010.cern.ch";"2019-08-11T13:00:00+02:00";170897522.4
"tpsrv010.cern.ch";"2019-08-11T13:30:00+02:00";273313819.44
"tpsrv010.cern.ch";"2019-08-11T14:00:00+02:00";278881988.74
"tpsrv010.cern.ch";"2019-08-11T14:30:00+02:00";287799537.64444447
"tpsrv010.cern.ch";"2019-08-11T15:00:00+02:00";276440223.4822222
"tpsrv010.cern.ch";"2019-08-11T15:30:00+02:00";263150628.0622222
"tpsrv010.cern.ch";"2019-08-11T16:00:00+02:00";84335607.47666667
"tpsrv010.cern.ch";"2019-08-11T16:30:00+02:00";82219242.50555556
"tpsrv010.cern.ch";"2019-08-11T17:00:00+02:00";65597455.277777776
"tpsrv010.cern.ch";"2019-08-11T17:30:00+02:00";55575535.034444444
"tpsrv010.cern.ch";"2019-08-11T18:00:00+02:00";56747896.51777778
"tpsrv010.cern.ch";"2019-08-11T18:30:00+02:00";66496621.99222222
"tpsrv010.cern.ch";"2019-08-11T19:00:00+02:00";112524410.10111111
"tpsrv010.cern.ch";"2019-08-11T19:30:00+02:00";22077598.607777778
"tpsrv010.cern.ch";"2019-08-11T20:00:00+02:00";48365690.55777778
"tpsrv010.cern.ch";"2019-08-11T20:30:00+02:00";85207396.41444445
"tpsrv010.cern.ch";"2019-08-11T21:00:00+02:00";32203433.81777778
"tpsrv010.cern.ch";"2019-08-11T21:30:00+02:00";82368365.09555556
"tpsrv010.cern.ch";"2019-08-11T22:00:00+02:00";23648601.86222222
"tpsrv010.cern.ch";"2019-08-11T22:30:00+02:00";55348339.98777778
"tpsrv010.cern.ch";"2019-08-11T23:00:00+02:00";231220122.08444443
"tpsrv010.cern.ch";"2019-08-11T23:30:00+02:00";275611543.67333335
"tpsrv010.cern.ch";"2019-08-12T00:00:00+02:00";263258400.30222222
"tpsrv010.cern.ch";"2019-08-12T00:30:00+02:00";261322145.20333335
"tpsrv010.cern.ch";"2019-08-12T01:00:00+02:00";70139314.86333333
"tpsrv010.cern.ch";"2019-08-12T01:30:00+02:00";40685480.35555556
"tpsrv010.cern.ch";"2019-08-12T02:00:00+02:00";59004868.31555556
"tpsrv010.cern.ch";"2019-08-12T02:30:00+02:00";117182074.77666667
"tpsrv010.cern.ch";"2019-08-12T03:00:00+02:00";46380838.32111111
"tpsrv010.cern.ch";"2019-08-12T03:30:00+02:00";31262613.55111111
"tpsrv010.cern.ch";"2019-08-12T04:00:00+02:00";225573451.32
"tpsrv010.cern.ch";"2019-08-12T04:30:00+02:00";163869770.87444445
"tpsrv010.cern.ch";"2019-08-12T05:00:00+02:00";204856772.53666666
"tpsrv010.cern.ch";"2019-08-12T05:30:00+02:00";237861066.5711111
"tpsrv010.cern.ch";"2019-08-12T06:00:00+02:00";219035778.7911111
"tpsrv010.cern.ch";"2019-08-12T06:30:00+02:00";195349972.34
"tpsrv010.cern.ch";"2019-08-12T07:00:00+02:00";94452630.17888889
"tpsrv010.cern.ch";"2019-08-12T07:30:00+02:00";101032298.41888888
"tpsrv010.cern.ch";"2019-08-12T08:00:00+02:00";118182755.77777778
"tpsrv010.cern.ch";"2019-08-12T08:30:00+02:00";45843142.145555556
"tpsrv010.cern.ch";"2019-08-12T09:00:00+02:00";126132830.53777778
"tpsrv010.cern.ch";"2019-08-12T09:30:00+02:00";51770142.05
"tpsrv010.cern.ch";"2019-08-12T10:00:00+02:00";80096134.32111111
"tpsrv010.cern.ch";"2019-08-12T10:30:00+02:00";75802856.79888889
"tpsrv010.cern.ch";"2019-08-12T11:00:00+02:00";50103341.53666667
"tpsrv010.cern.ch";"2019-08-12T11:30:00+02:00";68180049.66555555
"tpsrv010.cern.ch";"2019-08-12T12:00:00+02:00";99345332.10444444
"tpsrv010.cern.ch";"2019-08-12T12:30:00+02:00";78275372.80444445
"tpsrv010.cern.ch";"2019-08-12T13:00:00+02:00";41697126.11777778
"tpsrv010.cern.ch";"2019-08-12T13:30:00+02:00";82164876.71666667
