"Time";"tpsrv010.cern.ch";"tpsrv011.cern.ch";"tpsrv012.cern.ch";"tpsrv013.cern.ch";"tpsrv103.cern.ch";"tpsrv104.cern.ch";"tpsrv108.cern.ch";"tpsrv109.cern.ch";"tpsrv112.cern.ch";"tpsrv113.cern.ch";"tpsrv114.cern.ch";"tpsrv115.cern.ch";"tpsrv116.cern.ch";"tpsrv117.cern.ch";"tpsrv118.cern.ch";"tpsrv119.cern.ch";"tpsrv210.cern.ch";"tpsrv211.cern.ch";"tpsrv213.cern.ch";"tpsrv221.cern.ch";"tpsrv222.cern.ch";"tpsrv223.cern.ch";"tpsrv224.cern.ch";"tpsrv410.cern.ch"
"2019-08-09T18:30:00";238263019.4422222;210682425.34444445;165537469.84666666;121321225.78777778;;;;;;138520927.00666666;;;63728484.155555554;;;59325708.637777776;;;;;;;;
"2019-08-09T19:00:00";168242691.43444446;207216246.26444444;159220138.46333334;141704424.95777777;;;;;;164982734.28666666;;;57273524.57777778;;;66287052.04888889;;;;;;;;
"2019-08-09T19:30:00";239345546.6088889;128003113.55666667;169777133.4377778;112761093.82333334;;;;;;93207181.86;;;60341094.37111111;;;66370792.77555556;;;;;;;;
"2019-08-09T20:00:00";227396255.11222222;183259702.9677778;157269611.4722222;136652686.83777776;;;;;;174066603.32;;;65089177.77111111;;;70692593.26222222;;;;;;;;
"2019-08-09T20:30:00";266195331.30222222;190316286.65888888;125926024.59888889;113073342.48111111;;;;;;271959528.19777775;;;64338560.38;;;70295002.12888889;;;;;;;;
"2019-08-09T21:00:00";196183888.24888888;177738425.70666668;159139311.7177778;131783721.80111112;;;;;;241656960.93555555;;;60599456.642222226;;;63703289.531111114;1352809.0555555555;;;;;;;
"2019-08-09T21:30:00";226014878.91777778;98907298.81111111;119643063.34777778;117001776.04111111;;;;;;99171339.06;;;45758380.26888889;;;59617277.17555556;;;;;;;;
"2019-08-09T22:00:00";94794048.75444445;188155605.44111112;133254811.98111111;126329152.7811111;;;;;;59439014.54444444;;;59364155.873333335;;;61255267.53777778;;;;;;;;
"2019-08-09T22:30:00";78023709.42666666;175651871.82444444;146895542.2711111;116556563.37666667;;;;;;66430356.63555556;;;61120547.75777778;;;105420806.15111111;;;;;;;;
"2019-08-09T23:00:00";129646195.8288889;203935175.44777778;139246933.47555557;136686328.0211111;;;;;;110286274.78666666;;;107865770.00444445;;;100034969.80222222;;;;;;;;
"2019-08-09T23:30:00";193000539.78111112;199346413.90666667;151926887.6811111;150022236.16666666;;;;;;206827246.16444445;;;169727029.82444444;;;116583211.63777778;;;;;;;;
"2019-08-10T00:00:00";71242083.75444445;245608262.75555557;153892706.46;136709923.7588889;;;;;;235824900.96;;;174771778.51555556;;;100888845.37333333;;;;27790753.29;4030963.51;;;
"2019-08-10T00:30:00";142164931.43;242927799.23555556;191693876.1988889;173548276.60222223;;;;;;223842694.84444445;;;166070506.8311111;;;86374293.87555556;;;;292237704.8488889;198231706.79555556;262549292.05444443;;
"2019-08-10T01:00:00";204964371.7222222;236177194.60222223;157438405.7988889;116478352.9988889;;;;;;288968864.78444445;;;131307633.11555555;;;95268396.23555556;;;;281222970.9488889;271895750.3711111;282844212.68222225;;
"2019-08-10T01:30:00";223937794.32222223;235999213.91222224;116978444.75;111077813.66888888;;;;;;283630216.7822222;;;140155129.5688889;;;102975980.93555556;0.01;;;276681253.5777778;241784986.21333334;263507590.23777777;;
"2019-08-10T02:00:00";125989432.11666666;265705408.82777777;42533645.63222222;118287433.19555555;;;;;;271793359.1911111;;;137875896.7822222;;;98468636.78222223;1456647.1966666668;;;250287314.98666668;273502712.4911111;232244106.62444445;;
"2019-08-10T02:30:00";237705227.9611111;259524393.91;10435094.714444444;37203906.93666667;;;;;;265506318.83333334;;;127673823.92666666;;;102893113.89333333;;;;270514365.8088889;276327939.0311111;212220800.3511111;;
"2019-08-10T03:00:00";169511321.15111113;210441249.8311111;;;;;;;;269883170.5422222;;;184827634.14;;;99632137.7;;;;289293052.06;269052894.2644445;227863023.56666666;;
"2019-08-10T03:30:00";215562601.21333334;219963193.09555554;;;;;;;;248259458.97777778;;;183597725.38222224;;;100929629.35555555;;;;261327971.24222222;268449664.43777776;224886039.2222222;;
"2019-08-10T04:00:00";181243634.92555556;220772650.56666666;;;;;;;;274035749.31777775;;;185254934.24222222;;;95090571.79777777;;;;263521864.30444443;277664610.94666666;222756961.08666667;;
"2019-08-10T04:30:00";198102378.03111112;223437674.98222223;;;;;;;;257309539.54;;;191352208.2911111;;;56924871.008888885;;;;277598049.0777778;262851497.59555554;267844242.2222222;;
"2019-08-10T05:00:00";170981704.26333332;221776383.28666666;;;;;;;;220138689.81111112;;;196493804.39777777;;;47385155.1;;;;237993592.65111113;286364420.70666665;283034123.77555555;;
"2019-08-10T05:30:00";205016677.3888889;191919176.31777778;;;;;;;;274739329.6888889;;;186936763.2822222;;;7139894.625555555;;;;235609063.7822222;277964472.5888889;276455518.8622222;;
"2019-08-10T06:00:00";194187630.9677778;174141895.00777778;;;;;;;;272970264.1888889;;;184304507.22444445;;;;;;;278953644.9444444;272310959.52;273954914.0933333;;
"2019-08-10T06:30:00";136830071.7111111;31892350.59888889;;;;;;;;274649900.69777775;;;53683991.416666664;;;;;;;258501145.13555557;283990380.14444447;274112203.17777777;;
"2019-08-10T07:00:00";202884391.98222223;178588801.13111112;;;;;;;;277073457.53555554;;;;;;;;;;258055348.46666667;170988692.57444444;261325932.34444445;;
"2019-08-10T07:30:00";105246764.73444444;154029897.88;;;;;;;;274729713.8977778;;;;;;;;;;203052749.82444444;245095328.70555556;259967568.50666666;;
"2019-08-10T08:00:00";197578952.33888888;192609935.01777777;;;;;;;;275888409.62222224;;;;;;;;;;281059419.5822222;267208827.72666666;261956251.08222222;;
"2019-08-10T08:30:00";203197075.03444445;192873976.19;;;;;;;;255118857.36666667;;;;;;;;;;277472798.88222224;262461182.4888889;242666234.8288889;;
